system,metric,k,value,n
hybrid_graph_rerank,precision,20,0.017500000000000005,60
hybrid_graph_rerank,recall,1,0.21666666666666667,60
hybrid_graph_rerank,recall,3,0.23333333333333334,60
hybrid_graph_rerank,recall,5,0.26666666666666666,60
hybrid_graph_rerank,recall,10,0.31666666666666665,60
hybrid_graph_rerank,recall,20,0.35,60
hybrid_gr_1hop,hit,1,0.21666666666666667,60
hybrid_gr_1hop,hit,3,0.25,60
hybrid_gr_1hop,hit,5,0.2833333333333333,60
hybrid_gr_1hop,hit,10,0.31666666666666665,60
hybrid_gr_1hop,hit,20,0.35,60
hybrid_gr_1hop,mrr,1,0.21666666666666667,60
hybrid_gr_1hop,mrr,3,0.23055555555555557,60
hybrid_gr_1hop,mrr,5,0.23805555555555555,60
hybrid_gr_1hop,mrr,10,0.2425,60
hybrid_gr_1hop,mrr,20,0.24435758513931888,60
hybrid_gr_1hop,ndcg,1,0.21666666666666667,60
hybrid_gr_1hop,ndcg,3,0.23551549589285764,60
hybrid_gr_1hop,ndcg,5,0.24914098531465656,60
hybrid_gr_1hop,ndcg,10,0.25989551887175505,60
hybrid_gr_1hop,ndcg,20,0.26774869686721986,60
hybrid_gr_1hop,precision,1,0.21666666666666667,60
hybrid_gr_1hop,precision,3,0.08333333333333331,60
hybrid_gr_1hop,precision,5,0.05666666666666668,60
hybrid_gr_1hop,precision,10,0.031666666666666676,60
hybrid_gr_1hop,precision,20,0.017500000000000005,60
hybrid_gr_1hop,recall,1,0.21666666666666667,60
hybrid_gr_1hop,recall,3,0.25,60
hybrid_gr_1hop,recall,5,0.2833333333333333,60
hybrid_gr_1hop,recall,10,0.31666666666666665,60
hybrid_gr_1hop,recall,20,0.35,60
hybrid_gr_relations,hit,1,0.21666666666666667,60
hybrid_gr_relations,hit,3,0.25,60
hybrid_gr_relations,hit,5,0.2833333333333333,60
hybrid_gr_relations,hit,10,0.3333333333333333,60
hybrid_gr_relations,hit,20,0.35,60
hybrid_gr_relations,mrr,1,0.21666666666666667,60
hybrid_gr_relations,mrr,3,0.23055555555555557,60
hybrid_gr_relations,mrr,5,0.23805555555555555,60
hybrid_gr_relations,mrr,10,0.24435185185185185,60
hybrid_gr_relations,mrr,20,0.24522904483430796,60
hybrid_gr_relations,ndcg,1,0.21666666666666667,60
hybrid_gr_relations,ndcg,3,0.23551549589285764,60
hybrid_gr_relations,ndcg,5,0.24914098531465653,60
hybrid_gr_relations,ndcg,10,0.2649126854661547,60
hybrid_gr_relations,ndcg,20,0.2687689890188174,60
hybrid_gr_relations,precision,1,0.21666666666666667,60
hybrid_gr_relations,precision,3,0.08333333333333331,60
hybrid_gr_relations,precision,5,0.05666666666666668,60
hybrid_gr_relations,precision,10,0.03333333333333334,60
hybrid_gr_relations,precision,20,0.017500000000000005,60
hybrid_gr_relations,recall,1,0.21666666666666667,60
hybrid_gr_relations,recall,3,0.25,60
hybrid_gr_relations,recall,5,0.2833333333333333,60
hybrid_gr_relations,recall,10,0.3333333333333333,60
hybrid_gr_relations,recall,20,0.35,60
hybrid_gr_expand,hit,1,0.21666666666666667,60
hybrid_gr_expand,hit,3,0.23333333333333334,60
hybrid_gr_expand,hit,5,0.26666666666666666,60
hybrid_gr_expand,hit,10,0.31666666666666665,60
hybrid_gr_expand,hit,20,0.35,60
hybrid_gr_expand,mrr,1,0.21666666666666667,60
hybrid_gr_expand,mrr,3,0.225,60
hybrid_gr_expand,mrr,5,0.23249999999999998,60
hybrid_gr_expand,mrr,10,0.23810185185185187,60
hybrid_gr_expand,mrr,20,0.24009015594541908,60
hybrid_gr_expand,ndcg,1,0.21666666666666667,60
